職業,総数,男,女,old_title
美容師見習を含む,260710,11740,248970,84美容師(見習を含む)
浴場従事者,56950,24400,32550,85浴場従事者
クリーニング工，洗張職,164035,98335,65700,86クリーニング工，洗張職
料理人,1036120,458870,577250,料理人
バーテンダー,54795,47325,7470,88バーテンダー
接客・給仕職業従事者,601395,63710,537685,(25)接客・給仕職業従事者
接客社交係,126070,1310,124760,90接客社交係
芸者，ダンサー,18580,96,18484,91芸者，ダンサー
娯楽場等の接客員,142270,55305,86965,92娯楽場等の接客員
物品一時預り人，賃貸人,18250,6800,11450,98物品一時預り人，賃貸人
その他の個人サービス職業従事者,19710,8495,11215,(27)その他の個人サービス職業従事者
その他のサービス職業従事者,416215,163715,252500,(27)その他のサービス職業従事者
旅館主・支配人・番頭,65875,35045,30830,93旅館主・支配人・番頭
マンション・アパート・下宿・寄宿舎・寮の管理人,74845,19160,55685,94マンション・アパート・下宿・寄宿舎・寮の管理人
ファッションモデル等の広告宣伝員,17120,4015,13105,ファッションモデル等の広告宣伝員
清掃員,184040,74780,109260,清掃員
他に分類されないサービス職業従事者,74335,30715,43620,100他に分類されないサービス職業従事者
分類不能の職業,19405,11130,8275,Ｊ分類不能の職業
分類不能の職業,19405,11130,8275,(61)分類不能の職業
分類不能の職業,19405,11130,8275,294分類不能の職業
